id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
6,n,-n,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1016,5,2,1936067.196586,-1.0528720173430848,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,20,100,1.0,200,200,1.0,478,5,2,1134340.383612,-1.7563239777838144,,,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,50,200,1.0,792,5,2,1235463.231081,-1.747188522230039,,,0
2,n,-n,0.5,100.0,False,50,100,100,1.0,200,200,1.0,974,5,2,1911087.957866,-1.0503141124532278,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,20,100,1.0,50,200,1.0,342,5,2,619956.26116,-2.273385818220558,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,20,100,1.0,200,200,1.0,492,5,2,1400331.593827,-2.417748485812833,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,674,5,2,279501.613035,-1.5105321339145361,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,318,5,2,662697.346039,-1.0390574687908656,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,50,200,1.0,860,5,2,1241533.16218,-1.7409592240014915,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,50,200,1.0,200,5,2,575731.166234,-0.5266399096745146,,,0
14,n**3/0.5,n**3/0.5,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,716,5,2,309854.44011,-2.115606872947361,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,20,100,1.0,200,200,1.0,560,5,2,1343467.628403,-1.1762956304467305,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,200,200,1.0,460,5,2,1234732.732965,-1.0475453944945918,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,20,100,1.0,50,50,1.0,136,5,2,194940.761439,-2.1153777763605293,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,100,100,1.0,50,200,1.0,944,5,2,1270108.404276,-0.7760439361134055,,,0
5,n,-n,0.5,10.0,False,50,100,100,1.0,50,200,1.0,814,5,2,1246661.918536,-1.02789954056917,,,0
4,n**5,-n**5,0.5,100.0,False,50,100,100,1.0,200,200,1.0,992,5,2,1772204.349271,-3.8834249985170337,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,100,100,1.0,50,200,1.0,776,5,2,1197830.734516,-0.7021090067440137,,,0
