id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,314,5,2,599088.360778,-1.0441107495453195,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,True,50,100,100,1.0,50,50,1.0,727,5,2,429484.471298,-1.1930250097994062,67187.75660982433,7616.779806126407,0
14,n**3/0.5,-n**3/0.5,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,712,5,2,232778.221353,-2.115684689394353,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,True,50,20,100,1.0,50,400,1.0,1895,5,2,2020628.965422,-0.8972384407138168,,,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,50,50,1.0,610,5,2,225950.857834,-1.5110474357944514,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,True,50,100,100,1.0,200,200,1.0,1117,5,2,2535323.188749,-1.1288031996173207,3342686.542484495,229128.3209934138,0
10,n**2+n,-n**2+n,0.5,1000.0,True,50,20,100,1.0,50,200,1.0,299,5,2,894678.81188,-1.137248900717426,99577.84104350937,8492.812653361547,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,50,400,1.0,1732,5,2,1747292.14352,-1.08654427396451,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,20,100,1.0,50,200,1.0,346,5,2,858068.386932,-2.247427225838549,,,0
4,n**5,-n**5,0.5,100.0,True,50,20,100,1.0,50,400,1.0,1755,5,2,1455266.971976,-1.4328296157114813,1440.551505440295,294.0874098079056,0
12,1000000*n,-1000000*n,0.5,100000000.0,True,50,100,100,1.0,50,50,1.0,695,5,2,324336.559835,-0.905021474623416,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,100,100,1.0,400,400,1.0,1496,5,2,8873682.736292,-1.8522835677283875,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,678,5,2,260479.874025,-1.5103639880517572,,,0
3,n**2,-n**2,0.5,100.0,True,50,20,100,1.0,50,200,1.0,231,5,2,623935.927166,-1.1747196095846706,20195.875351937037,2301.4567265575383,0
14,n**3/0.5,-n**3/0.5,0.5,100000000.0,True,50,20,100,1.0,50,200,1.0,333,5,2,834557.472062,-1.3486102811882679,5536.140152542578,1039.9970991295077,0
6,n,-n,0.5,1000.0,False,50,20,100,1.0,50,400,1.0,1778,5,2,1792103.309077,-1.0572046864226297,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,322,5,2,842911.132679,-2.406190031459931,,,0
4,n**5,-n**5,0.5,100.0,False,50,20,100,1.0,50,200,1.0,240,5,2,592557.309173,-3.8175777957717587,,,0
3,n**2,-n**2,0.5,100.0,False,50,20,100,1.0,50,400,1.0,1744,5,2,1813773.105656,-1.7889715203332153,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,True,50,100,100,1.0,50,50,1.0,761,5,2,367197.74489,-0.5652893888599084,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,True,50,20,100,1.0,50,200,1.0,307,5,2,919969.33953,-1.449302294180678,21599.170928426483,5234.162420525318,0
4,n**5,-n**5,0.5,100.0,True,50,100,100,1.0,50,50,1.0,621,5,2,374151.048709,-1.4291725537162352,1518.9290764118318,309.44411631082437,0
5,n,-n,0.5,10.0,True,50,20,100,1.0,50,400,1.0,1763,5,2,1896182.997866,-1.0258789831347452,15199247.138127979,298311.6258067322,0
12,1000000*n,-1000000*n,0.5,100000000.0,True,50,20,100,1.0,50,400,1.0,1841,5,2,2340800.211658,-1.025910680946678,12326489.07175076,246432.56215224884,0
13,n**3,-n**3,0.5,100000000.0,True,50,100,100,1.0,50,50,1.0,703,5,2,375973.050881,-1.3376156295312944,7000.534906523973,1314.5175580534137,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,686,5,2,327423.366101,-2.1142228455990066,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,20,100,1.0,50,200,1.0,380,5,2,766493.675995,-0.7778359332373528,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,50,400,1.0,1786,5,2,1817162.006979,-1.0614926279153882,,,0
4,n**5,-n**5,0.5,100.0,False,50,100,100,1.0,200,200,1.0,998,5,2,1839640.607466,-3.8809611274433116,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,400,400,1.0,1504,5,2,9040831.746165,-1.3448273873683272,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,True,50,100,100,1.0,50,50,1.0,655,5,2,285159.058452,-1.1268137523712318,444560.0334272775,39308.69997828966,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,True,50,100,100,1.0,400,400,1.0,1519,5,2,8100692.84802,-0.8985875275890314,,,0
2,n,-n,0.5,100.0,False,50,100,100,1.0,400,400,1.0,1356,5,2,7929407.299809,-1.1189221025605511,,,0
6,n,-n,0.5,1000.0,True,50,100,100,1.0,200,200,1.0,1015,5,2,1943409.621013,-1.0159625600772804,58917647.459410295,741666.8406864249,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,200,200,1.0,952,5,2,2011113.73287,-0.5234655229417288,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,274,5,2,594808.236552,-1.7251553139374471,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,True,50,100,100,1.0,200,200,1.0,1125,5,2,2148394.607775,-1.0509586272793923,1696523581.0067434,37752525.27409632,0
4,n**5,-n**5,0.5,100.0,True,50,100,100,1.0,400,400,1.0,1379,5,2,9657327.621417,-1.4861664971807136,1609.2281820458604,367.90539079280217,0
6,n,-n,0.5,1000.0,False,50,100,100,1.0,400,400,1.0,1394,5,2,8204407.928913,-1.115423434325157,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,20,100,1.0,50,400,1.0,1872,5,2,2305593.501267,-1.9321338372844084,,,0
2,n,-n,0.5,100.0,True,50,100,100,1.0,200,200,1.0,977,5,2,1802517.265728,-1.0174976283055166,52349219.34756699,726771.5312446853,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,100,100,1.0,200,200,1.0,1138,5,2,2367631.444441,-0.7755806601924058,,,0
3,n**2,-n**2,0.5,100.0,True,50,20,100,1.0,50,400,1.0,1745,5,2,1742254.567748,-1.1563037366558069,17774.81877809012,1743.8073931952392,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,100,100,1.0,50,50,1.0,760,5,2,360650.795065,-0.5684625056336667,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,306,5,2,826626.381918,-2.437531525587987,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,20,100,1.0,50,400,1.0,1728,5,2,1725521.997035,-0.714909742343417,,,0
13,n**3,-n**3,0.5,100000000.0,True,50,20,100,1.0,50,200,1.0,323,5,2,648759.273483,-1.3639549241492894,6248.767833892573,1172.0183477969886,0
4,n**5,-n**5,0.5,100.0,True,50,20,100,1.0,50,200,1.0,241,5,2,647282.942228,-1.4023464119251514,1352.6575202111305,249.4621845927563,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,True,50,100,100,1.0,50,50,1.0,687,5,2,382231.478506,-1.405468860165582,24068.58945370361,5110.67618759834,0
